Number,Constituency,District,UDF candidate|UDF candidate[3][4],Party,Votes,LDF candidate[5][6][7],Party,Votes,NDA candidate[8][9],Party,Votes,Winner,Margin,Winning party,Winning Alliance
117,Chavara,Kollam,Shibu Baby John,RSP,62186,Sujith Vijayanpillai,Ind.,"63,282",Vivek Gopan,BJP,14211,Sujith Vijayan,1096,Ind.,LDF
118,Kunnathur (SC),Kollam,Ullas Kovoor,RSP,66646,Kovoor Kunjumon,Ind.[10],"69,436",Raji Prasad,BJP,21760,Kovoor Kunjumon,2790,Ind.[10],LDF
119,Kottarakkara,Kollam,Resmi R.,INC,57956,K. N. Balagopal,CPI(M),"68,770",Vayakkal Soman,BJP,21223,K. N. Balagopal,10814,CPI(M),LDF
120,Pathanapuram,Kollam,Jyothikumar Chamakkala,INC,52776,K. B. Ganesh Kumar,KC(B),"67,078",Jithin Dev,BJP,12364,K. B. Ganesh Kumar,14302,KC(B),LDF
121,Punalur,Kollam,Abdul Rahman Randathani,IUML,43421,P. S. Supal,CPI,80428,Ayoor Murali,BJP,20069,P. S. Supal,37007,CPI,LDF
122,Chadayamangalam,Kollam,M. M. Naseer,INC,53574,J. Chinchu Rani,CPI,"67,252",Vishnu Pattathanam,BJP,22238,J. Ch INChu Rani,13678,CPI,LDF
123,Kundara,Kollam,P. C. Vishnunath,INC,76341,J. Mercykutty Amma,CPI(M),"71,887",Vanaja Vidyadharan,BDJS,6097,P. C. Vishnunath,4454,INC,UDF
124,Kollam,Kollam,Bindhu Krishna,INC,56452,Mukesh,CPI(M),"58,524",M. Sunil,BJP,14252,Mukesh,2072,CPI(M),LDF
125,Eravipuram,Kollam,Babu Divakaran,RSP,43452,M. Noushad,CPI(M),"71,573",Ranjith Raveendran,BDJS,8468,M. Noushad,28121,CPI(M),LDF
126,Chathannoor,Kollam,Peethambara Kurup,INC,34280,G. S. Jayalal,CPI,"59,296",B. B. Gopakumar,BJP,42090,G. S. Jayalal,17206,CPI,LDF
127,Varkala,Thiruvananthapuram,B. R. M. Shafeer,INC,50995,V. Joy,CPI(M),68816,Aji S. R. M.,BDJS,11214,V. Joy,17821,CPI(M),LDF
128,Attingal (SC),Thiruvananthapuram,A. Sreedharan,RSP,36938,O. S. Ambika,CPI(M),"69,898",P. Sudheer,BJP,38262,O. S. Ambika,31636,CPI(M),LDF
129,Chirayinkeezhu (SC),Thiruvananthapuram,Anup B.S.,INC,48617,V. Sasi,CPI,"62,634",Ashanath,BJP,30986,V. Sasi,14017,CPI,LDF
130,Nedumangad,Thiruvananthapuram,P. S. Prasanth,INC,49433,G. R. Anil,CPI,"72,742",J. R. Padmakumar,BJP,26861,G. R. Anil,23309,CPI,LDF
131,Vamanapuram,Thiruvananthapuram,Anad Jayan,INC,62895,D. K. Murali,CPI(M),"73,137",Thazhava Sahadevan,BDJS,5603,D. K. Murali,10242,CPI(M),LDF
132,Kazhakoottam,Thiruvananthapuram,S. S. Lal,INC,32995,Kadakampally Surendran,CPI(M),"63,690",Shobha Surendran,BJP,40193,Kadakampally Surendran,23497,CPI(M),LDF
133,Vattiyoorkavu,Thiruvananthapuram,Veena S. Nair,INC,35455,V. K. Prasanth,CPI(M),"61,111",V. V. Rajesh,BJP,39596,V. K. Prasanth,21515,CPI(M),LDF
134,Thiruvananthapuram,Thiruvananthapuram,V. S. Sivakumar,INC,41659,Antony Raju,JKC,"48,748",Krishna Kumar,BJP,34996,Antony Raju,7089,JKC,LDF
135,Nemom,Thiruvananthapuram,K. Muraleedharan,INC,36524,V. Sivankutty,CPI(M),"55,837",Kummanam Rajasekharan,BJP,51888,V. Sivankutty,3949,CPI(M),LDF
136,Aruvikkara,Thiruvananthapuram,K. S. Sabarinathan,INC,61730,G. Stephen,CPI(M),"66,776",C. Sivankutty,BJP,15379,G. Stephen,5046,CPI(M),LDF
137,Parassala,Thiruvananthapuram,Ansajitha Ressal,INC,52720,C. K. Hareendran,CPI(M),"78,548",Karamana Jayan,BJP,29850,C. K. Hareendran,25828,CPI(M),LDF
138,Kattakada,Thiruvananthapuram,Malayainkeezhu Venugopal,INC,43062,I. B. Sathish,CPI(M),"66,293",P. K. Krishnadas,BJP,34642,I. B. Sathish,23231,CPI(M),LDF
139,Kovalam,Thiruvananthapuram,M. Vinent,INC,74868,Neelalohithadasan Nadar,JD(S),63306,Vishnupuram Chandrasekharan,KKC,18664,M. Vincent,11562,INC,UDF
140,Neyyattinkara,Thiruvananthapuram,R. Selvaraj,INC,51235,K. Ansalan,CPI(M),"65,497",Rajasekharan S Nair,BJP,21009,K. Ansalan,14262,CPI(M),LDF
