constituency_no,constituency_name,total_electors,serial_no,candidate_name,sex,age,category,party,symbol,general_votes,postal_votes,total_votes,vote_pct,winner
68,NATTIKA,210708,6,SIVARATHNAN ALATHI,MALE,56,SC,IND,Walking Stick,585,10,595,0.39,FALSE
68,NATTIKA,210708,7,VIMAL MALLIKA VIJAYAN,MALE,25,SC,BSP,Elephant,357,10,367,0.24,FALSE
69,KAIPAMANGALAM,174025,1,E T TAISON MASTER,MALE,56,GENERAL,CPI,Ears of Corn And Sickle,71666,1495,73161,53.76,TRUE
69,KAIPAMANGALAM,174025,2,SOBHA SUBIN,MALE,35,GENERAL,INC,Hand,49505,958,50463,37.08,FALSE
69,KAIPAMANGALAM,174025,3,C D SREELAL,MALE,53,GENERAL,BDJS,Helmet,8913,153,9066,6.66,FALSE
69,KAIPAMANGALAM,174025,4,M K ASLAM,MALE,53,GENERAL,WPOI,Gas Cylinder,1630,41,1671,1.23,FALSE
69,KAIPAMANGALAM,174025,5,M K SHAMEER,MALE,49,GENERAL,SDPI,Scissors,808,6,814,0.6,FALSE
69,KAIPAMANGALAM,174025,,NOTA,,,,NOTA,NOTA,457,9,466,0.34,FALSE
69,KAIPAMANGALAM,174025,7,THANKAMANY THARAYIL,FEMALE,63,SC,BSP,Elephant,434,8,442,0.32,FALSE
70,IRINJALAKKUDA,201978,1,Prof. R Bindu,FEMALE,53,GENERAL,CPI(M),"Hammer, Sickle and Star",60843,1650,62493,40.27,TRUE
70,IRINJALAKKUDA,201978,2,Adv. Thomas Unniyadan,MALE,62,GENERAL,KEC,Tractor Chalata Kisan,54851,1693,56544,36.44,FALSE
70,IRINJALAKKUDA,201978,3,Dr. Jacob Thomas,MALE,60,GENERAL,BJP,Lotus,33685,644,34329,22.12,FALSE
70,IRINJALAKKUDA,201978,,NOTA,,,,NOTA,NOTA,583,7,590,0.38,FALSE
70,IRINJALAKKUDA,201978,5,Vaxerin Pereppadan,MALE,38,GENERAL,IND,Auto- Rickshaw,503,33,536,0.35,FALSE
70,IRINJALAKKUDA,201978,6,Joshy Eluvathingal,MALE,47,GENERAL,IND,Walking Stick,292,13,305,0.2,FALSE
70,IRINJALAKKUDA,201978,7,V Bindu W/o Ramachandran,FEMALE,49,GENERAL,IND,Batsman,206,14,220,0.14,FALSE
70,IRINJALAKKUDA,201978,8,M Bindu W/o Sivadasan,FEMALE,46,GENERAL,IND,Football,141,21,162,0.1,FALSE
71,PUTHUKKAD,201192,1,K.K. Ramachandran,MALE,53,GENERAL,CPI(M),"Hammer, Sickle and Star",71250,2115,73365,46.94,TRUE
71,PUTHUKKAD,201192,2,Sunil Anthikkad (Sunilkumar. P.V),MALE,54,GENERAL,INC,Hand,44530,1482,46012,29.44,FALSE
71,PUTHUKKAD,201192,3,A. Nagesh (Parameswaran.A),MALE,52,GENERAL,BJP,Lotus,34200,693,34893,22.33,FALSE
71,PUTHUKKAD,201192,,NOTA,,,,NOTA,NOTA,1053,16,1069,0.68,FALSE
71,PUTHUKKAD,201192,5,Rajesh Appatt,MALE,51,GENERAL,CPIM,Tractor Chalata Kisan,475,14,489,0.31,FALSE
71,PUTHUKKAD,201192,6,P.C. Pushpakaran,MALE,53,SC,BSP,Elephant,440,15,455,0.29,FALSE
72,CHALAKKUDY,192929,1,Saneeshkumar Joseph,MALE,42,GENERAL,INC,Hand,60452,1436,61888,43.23,TRUE
72,CHALAKKUDY,192929,2,DENNIES K ANTONY,MALE,49,GENERAL,KEC(M),Two Leaves,59516,1315,60831,42.49,FALSE
72,CHALAKKUDY,192929,3,Unnikrishnan K.A,MALE,53,GENERAL,BDJS,Helmet,17014,287,17301,12.09,FALSE
72,CHALAKKUDY,192929,,NOTA,,,,NOTA,NOTA,983,17,1000,0.7,FALSE
72,CHALAKKUDY,192929,5,T N Rajan,MALE,64,GENERAL,IND,Television,692,21,713,0.5,FALSE
72,CHALAKKUDY,192929,6,M S Asokan,MALE,52,SC,BSP,Elephant,597,20,617,0.43,FALSE
72,CHALAKKUDY,192929,7,Dharmajan P K,MALE,34,SC,SUCI,Battery torch,244,9,253,0.18,FALSE
72,CHALAKKUDY,192929,8,Rosilin,FEMALE,55,GENERAL,IND,Pineapple,234,14,248,0.17,FALSE
72,CHALAKKUDY,192929,9,Joshy Vattoly,MALE,43,GENERAL,IND,COCONUT FARM,143,17,160,0.11,FALSE
72,CHALAKKUDY,192929,10,Cheriya,MALE,53,GENERAL,IND,Tractor Chalata Kisan,137,6,143,0.1,FALSE
73,KODUNGALLUR,193042,1,Adv. V. R. SUNILKUMAR,MALE,52,GENERAL,CPI,Ears of Corn And Sickle,69447,2010,71457,47.99,TRUE
73,KODUNGALLUR,193042,2,M. P. JACKSON,MALE,68,GENERAL,INC,Hand,46017,1547,47564,31.94,FALSE
73,KODUNGALLUR,193042,3,SANTHOSH CHERAKKULAM,MALE,56,GENERAL,BJP,Lotus,27600,604,28204,18.94,FALSE
73,KODUNGALLUR,193042,,NOTA,,,,NOTA,NOTA,865,5,870,0.58,FALSE
73,KODUNGALLUR,193042,5,REMYA MOHANAN,FEMALE,35,SC,BSP,Elephant,342,24,366,0.25,FALSE
73,KODUNGALLUR,193042,6,O. M. SREEJA,FEMALE,36,GENERAL,SUCI,Battery Torch,262,8,270,0.18,FALSE
73,KODUNGALLUR,193042,7,RAJAN PAINAT,MALE,68,GENERAL,IND,Dish Antenna,162,9,171,0.11,FALSE
74,PERUMBAVOOR,184654,1,Adv ELDOSE P KUNNAPILLIL,MALE,42,GENERAL,INC,Hand,52055,1429,53484,37.1,TRUE
74,PERUMBAVOOR,184654,2,BABU JOSEPH PERUMBAVOOR,MALE,65,GENERAL,KEC(M),Two Leaves,49438,1147,50585,35.09,FALSE
74,PERUMBAVOOR,184654,4,Adv.T P SINDHUMOL,FEMALE,44,GENERAL,BJP,Lotus,14813,322,15135,10.5,FALSE
74,PERUMBAVOOR,184654,5,AJMAL K MUJEEB,MALE,44,GENERAL,SDPI,Scissors,2483,11,2494,1.73,FALSE
74,PERUMBAVOOR,184654,6,ARSHAD K M,MALE,41,GENERAL,WPOI,Gas Cylinder,1029,9,1038,0.72,FALSE
74,PERUMBAVOOR,184654,,NOTA,,,,NOTA,NOTA,686,17,703,0.49,FALSE
74,PERUMBAVOOR,184654,8,BABU JOSEPH ERUMALA,MALE,58,GENERAL,IND,Football,188,8,196,0.14,FALSE
75,ANGAMALY,178015,1,ROJI M JOHN,MALE,38,GENERAL,INC,Hand,70163,1399,71562,51.86,TRUE
75,ANGAMALY,178015,2,Adv. JOSE THETTAYIL,MALE,70,GENERAL,JD(S),A lady farmer carrying paddy on her head,54620,1013,55633,40.31,FALSE
75,ANGAMALY,178015,3,Adv. K V SABU,MALE,59,GENERAL,BJP,Lotus,8547,130,8677,6.29,FALSE
75,ANGAMALY,178015,,NOTA,,,,NOTA,NOTA,647,22,669,0.48,FALSE
75,ANGAMALY,178015,5,MARTIN PAUL,MALE,48,GENERAL,IND,Football,621,2,623,0.45,FALSE
