Constituency,,Winner,,,,,,,Runner-up,,,,,,,Margin
No.,Name,Candidate,Party,,Alliance,,Votes,%,Candidate,Party,,Alliance,,Votes,%,
96,Ettumanoor,K. Suresh Kurup,,CPI(M),,LDF,"53,805",40.67,Thomas Chazhikadan,,KC(M),,UDF,"44,906",33.94,"8,899"
97,Kottayam,Thiruvanchoor Radhakrishnan,,INC,,UDF,"73,894",57.46,Reji Sakhariya,,CPI(M),,LDF,"40,262",31.31,"33,632"
98,Puthuppally,Oommen Chandy,,INC,,UDF,"71,597",53.42,Jaick C. Thomas,,CPI(M),,LDF,"44,505",33.2,"27,092"
99,Changanassery,C. F. Thomas,,KC(M),,UDF,"50,371",40.04,K. C. Joseph,,IND,,LDF,"48,522",38.57,"1,849"
100,Kanjirappally,N. Jayaraj,,KC(M),,UDF,"53,126",38.86,V. B. Binu,,CPI(M),,LDF,"49,236",36.02,"3,890"
101,Poonjar,P. C. George,,IND,,N/A,"63,621",43.65,Georgekutty Augusty,,KC(M),,UDF,"35,800",24.56,"27,821"
Alappuzha district,,,,,,,,,,,,,,,,
102,Aroor,A. M. Ariff,,CPI(M),,LDF,"84,720",52.34,C. R. Jayaprakash,,INC,,UDF,"46,201",28.54,"38,519"
103,Cherthala,P. Thilothaman,,CPI,,LDF,"81,197",45.7,S. Sarath,,INC,,UDF,"74,001",41.65,"7,196"
104,Alappuzha,T. M. Thomas Issac,,CPI(M),,LDF,"83,219",53.29,Laly Vincent,,INC,,UDF,"52,719",33.42,"31,032"
105,Ambalappuzha,G. Sudhakaran,,CPI(M),,LDF,"63,069",47.32,Shaik P. Harriz,,JD(U),,UDF,"40,448",33.42,"22,621"
106,Kuttanad,Thomas Chandy,,NCP,,LDF,"50,114",38.52,Jacob Abraham,,KC(M),,UDF,"45,223",34.76,"4,891"
107,Haripad,Ramesh Chennithala,,INC,,UDF,"75,980",51.05,P. Prasad,,CPI,,LDF,"57,359",38.54,"18,621"
108,Kayamkulam,U. Prathibha Hari,,CPI(M),,LDF,"72,956",46.53,M. Liju,,INC,,UDF,"61,099",38.96,"11,757"
109,Mavelikara (SC),R. Rajesh,,CPI(M),,LDF,"74,455",49.81,Baiju Kalasala,,INC,,UDF,"43,013",28.74,"31,542"
110,Chengannur,K. K. Ramachandran Nair,,CPI(M),,LDF,"52,880",36.34,P. C. Vishnunath,,INC,,UDF,"44,897",30.85,"7,983"
Pathanamthitta district,,,,,,,,,,,,,,,,
111,Thiruvalla,Mathew T. Thomas,,JD(S),,LDF,"59,660",41.28,Joseph M. Puthussery,,KC(M),,UDF,"51,398",35.56,"8,462"
112,Ranni,Raju Abrham,,CPI(M),,LDF,"58,749",43.87,Mariamma Cherian,,INC,,UDF,"44,153",32.97,"14,596"
113,Aranmula,Veena George,,CPI(M),,LDF,"64,523",39.97,K. Sivadasan Nair,,INC,,UDF,"56,877",35.23,"7,646"
114,Konni,Adoor Prakash,,INC,,UDF,"72,800",50.81,R. Sanal Kumar,,CPI(M),,LDF,"52,052",36.33,"20,748"
115,Adoor (SC),Chittayam Gopakumar,,CPI,,LDF,"76,034",49.05,K. K. Shaju,,INC,,UDF,"50,574",32.62,"25,460"
Kollam district,,,,,,,,,,,,,,,,
116,Karunagappally,R. Ramachandran,,CPI,,LDF,"69,902",43.06,C. R. Mahesh,,INC,,UDF,"68,143",41.97,"1,759"
117,Chavara,N. Vijayan Pillai,,CMP(A),,LDF,"64,666",46.8,Shibu Baby John,,RSP,,UDF,"58,477",42.32,"8,189"
118,Kunnathur (SC),Kovoor Kunjumon,,IND,,LDF,"75,725",47.38,Ullas Kovur,,RSP,,UDF,"55,196",34.54,"20,529"
119,Kottarakkara,P. Aisha Potty,,CPI(M),,LDF,"83,443",55.44,Savin Sathyan,,INC,,UDF,"40,811",27.11,"42,632"
120,Pathanapuram,K. B. Ganesh Kumar,,KC(B),,LDF,"74,429",52.39,P. V. Jagadish Kumar,,INC,,UDF,"49,867",35.1,"24,562"
121,Punalur,K. Raju,,CPI,,LDF,"82,136",56.85,A. Younus Kunju,,IUML,,UDF,"48,554",33.61,"33,582"
122,Chadayamangalam,Mullakkara Ratnakaran,,CPI,,LDF,"71,262",49.1,M. M. Hassan,,INC,,UDF,"49,334",33.99,"21,928"
123,Kundara,J. Mercy Kutty Amma,,CPI(M),,LDF,"79,047",51.81,Rajmohan Unnithan,,INC,,UDF,"48,587",31.85,"30,460"
124,Kollam,M. Mukesh,,CPI(M),,LDF,"63,103",48.81,Sooraj Ravi,,INC,,UDF,"45,492",35.19,"17,611"
125,Eravipuram,M. Noushad,,CPI(M),,LDF,"65,392",52.33,A. A. Azeez,,RSP,,UDF,"36,589",29.28,"28,803"
126,Chathanoor,G. S. Jayalal,,CPI,,LDF,"67,606",50.76,B. B. Gopakumar,,BJP,,NDA,"33,199",24.92,"34,407"
Thiruvananthapuram district,,,,,,,,,,,,,,,,
127,Varkala,V. Joy,,CPI(M),,LDF,"53,102",41.43,Varkala Kahar,,INC,,UDF,"50,716",39.57,"2,386"
128,Attingal (SC),B. Satyan,,CPI(M),,LDF,"72,808",52.71,K. Chandrababu,,RSP,,UDF,"32,425",23.47,"40,383"
129,Chirayinkeezhu (SC),V. Sasi,,CPI,,LDF,"64,692",46.75,K. S. Ajith Kumar,,INC,,UDF,"50,370",36.4,"14,322"
130,Nedumangad,C. Divakaran,,CPI,,LDF,"57,745",38.16,Palode Ravi,,INC,,UDF,"54,124",35.76,"3,621"
131,Vamanapuram,D. K. Murali,,CPI(M),,LDF,"65,848",46.56,T. Sarathchandra Prasad,,INC,,UDF,"56,252",39.77,"9,596"
132,Kazhakootam,Kadakampally Surendran,,CPI(M),,LDF,"50,079",37.38,V. Muraleedharan,,BJP,,NDA,"42,732",31.9,"7,347"
133,Vattiyoorkavu,K. Muraleedharan,,INC,,UDF,"51,322",37.43,Kummanam Rajasekharan,,BJP,,NDA,"43,700",31.87,"7,522"
134,Thiruvananthapuram,V. S. Sivakumar,,INC,,UDF,"46,474",36.82,Antony Raju,,IND,,LDF,"35,569",28.18,"10,905"
135,Nemom,O. Rajagopal,,BJP,,NDA,"67,813",47.46,V. Sivankutty,,CPI(M),,LDF,"59,142",41.39,"8,613"
136,Aruvikkara,K. S. Sabarinathan,,INC,,UDF,"70,910",49.32,A. A. Rasheed,,CPI(M),,LDF,"49,596",34.5,"21,314"
137,Parassala,C. K. Hareendrakumar,,CPI(M),,LDF,"70,156",44.41,A. T. George,,INC,,UDF,"51,590",32.66,"18,566"
138,Kattakada,I. B. Satheesh,,CPI(M),,LDF,"51,614",35.93,N. Sakthan,,INC,,UDF,"50,765",35.34,849
139,Kovalam,M. Vincent,,INC,,UDF,"60,268",47.6,Jameela Prakasam,,JD(S),,LDF,"57,653",37.45,"3,415"
140,Neyyatinkara,K. Ansalan,,CPI(M),,LDF,"63,559",47.2,R. Selvaraj,,INC,,UDF,"54,016",40.12,"9,543"
